Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
469.0_ ,117.2_ ,0.0_ ,137.8_ ,32.2_ ,852.1_ ,840.5_ ,7_ ,54.90_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,7_ ,49.20_ 
388.6_ ,97.1_ ,0.0_ ,157.9_ ,12.1_ ,852.1_ ,925.7_ ,7_ ,34.90_ 
531.3_ ,0.0_ ,0.0_ ,141.8_ ,28.2_ ,852.1_ ,893.7_ ,7_ ,46.90_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,7_ ,49.20_ 
318.8_ ,212.5_ ,0.0_ ,155.7_ ,14.3_ ,852.1_ ,880.4_ ,7_ ,33.40_ 
401.8_ ,94.7_ ,0.0_ ,147.4_ ,11.4_ ,946.8_ ,852.1_ ,7_ ,54.10_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,7_ ,55.90_ 
323.7_ ,282.8_ ,0.0_ ,183.8_ ,10.3_ ,942.7_ ,659.9_ ,7_ ,49.80_ 
379.5_ ,151.2_ ,0.0_ ,153.9_ ,15.9_ ,1134.3_ ,605.0_ ,7_ ,47.10_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,7_ ,55.90_ 
286.3_ ,200.9_ ,0.0_ ,144.7_ ,11.2_ ,1004.6_ ,803.7_ ,7_ ,38.00_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,7_ ,55.90_ 
439.0_ ,177.0_ ,0.0_ ,186.0_ ,11.1_ ,884.9_ ,707.9_ ,7_ ,56.10_ 
389.9_ ,189.0_ ,0.0_ ,145.9_ ,22.0_ ,944.7_ ,755.8_ ,7_ ,59.09_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,7_ ,22.90_ 
337.9_ ,189.0_ ,0.0_ ,174.9_ ,9.5_ ,944.7_ ,755.8_ ,7_ ,35.10_ 
374.0_ ,189.2_ ,0.0_ ,170.1_ ,10.1_ ,926.1_ ,756.7_ ,28_ ,61.09_ 
313.3_ ,262.2_ ,0.0_ ,175.5_ ,8.6_ ,1046.9_ ,611.8_ ,28_ ,59.80_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,28_ ,60.29_ 
425.0_ ,106.3_ ,0.0_ ,151.4_ ,18.6_ ,936.0_ ,803.7_ ,28_ ,61.80_ 
375.0_ ,93.8_ ,0.0_ ,126.6_ ,23.4_ ,852.1_ ,992.6_ ,28_ ,56.70_ 
475.0_ ,118.8_ ,0.0_ ,181.1_ ,8.9_ ,852.1_ ,781.5_ ,28_ ,68.30_ 
469.0_ ,117.2_ ,0.0_ ,137.8_ ,32.2_ ,852.1_ ,840.5_ ,28_ ,66.90_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,28_ ,60.29_ 
388.6_ ,97.1_ ,0.0_ ,157.9_ ,12.1_ ,852.1_ ,925.7_ ,28_ ,50.70_ 
531.3_ ,0.0_ ,0.0_ ,141.8_ ,28.2_ ,852.1_ ,893.7_ ,28_ ,56.40_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,28_ ,60.29_ 
318.8_ ,212.5_ ,0.0_ ,155.7_ ,14.3_ ,852.1_ ,880.4_ ,28_ ,55.50_ 
401.8_ ,94.7_ ,0.0_ ,147.4_ ,11.4_ ,946.8_ ,852.1_ ,28_ ,68.50_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,28_ ,71.30_ 
323.7_ ,282.8_ ,0.0_ ,183.8_ ,10.3_ ,942.7_ ,659.9_ ,28_ ,74.70_ 
379.5_ ,151.2_ ,0.0_ ,153.9_ ,15.9_ ,1134.3_ ,605.0_ ,28_ ,52.20_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,28_ ,71.30_ 
286.3_ ,200.9_ ,0.0_ ,144.7_ ,11.2_ ,1004.6_ ,803.7_ ,28_ ,67.70_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,28_ ,71.30_ 
439.0_ ,177.0_ ,0.0_ ,186.0_ ,11.1_ ,884.9_ ,707.9_ ,28_ ,66.00_ 
389.9_ ,189.0_ ,0.0_ ,145.9_ ,22.0_ ,944.7_ ,755.8_ ,28_ ,74.50_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,28_ ,71.30_ 
337.9_ ,189.0_ ,0.0_ ,174.9_ ,9.5_ ,944.7_ ,755.8_ ,28_ ,49.90_ 
374.0_ ,189.2_ ,0.0_ ,170.1_ ,10.1_ ,926.1_ ,756.7_ ,56_ ,63.40_ 
313.3_ ,262.2_ ,0.0_ ,175.5_ ,8.6_ ,1046.9_ ,611.8_ ,56_ ,64.90_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,56_ ,64.30_ 
425.0_ ,106.3_ ,0.0_ ,151.4_ ,18.6_ ,936.0_ ,803.7_ ,56_ ,64.90_ 
375.0_ ,93.8_ ,0.0_ ,126.6_ ,23.4_ ,852.1_ ,992.6_ ,56_ ,60.20_ 
475.0_ ,118.8_ ,0.0_ ,181.1_ ,8.9_ ,852.1_ ,781.5_ ,56_ ,72.30_ 
469.0_ ,117.2_ ,0.0_ ,137.8_ ,32.2_ ,852.1_ ,840.5_ ,56_ ,69.30_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,56_ ,64.30_ 
388.6_ ,97.1_ ,0.0_ ,157.9_ ,12.1_ ,852.1_ ,925.7_ ,56_ ,55.20_ 
531.3_ ,0.0_ ,0.0_ ,141.8_ ,28.2_ ,852.1_ ,893.7_ ,56_ ,58.80_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,56_ ,64.30_ 
318.8_ ,212.5_ ,0.0_ ,155.7_ ,14.3_ ,852.1_ ,880.4_ ,56_ ,66.10_ 
401.8_ ,94.7_ ,0.0_ ,147.4_ ,11.4_ ,946.8_ ,852.1_ ,56_ ,73.70_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,56_ ,77.30_ 
323.7_ ,282.8_ ,0.0_ ,183.8_ ,10.3_ ,942.7_ ,659.9_ ,56_ ,80.20_ 
379.5_ ,151.2_ ,0.0_ ,153.9_ ,15.9_ ,1134.3_ ,605.0_ ,56_ ,54.90_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,56_ ,77.30_ 
286.3_ ,200.9_ ,0.0_ ,144.7_ ,11.2_ ,1004.6_ ,803.7_ ,56_ ,72.99_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,56_ ,77.30_ 
439.0_ ,177.0_ ,0.0_ ,186.0_ ,11.1_ ,884.9_ ,707.9_ ,56_ ,71.70_ 
389.9_ ,189.0_ ,0.0_ ,145.9_ ,22.0_ ,944.7_ ,755.8_ ,56_ ,79.40_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,56_ ,77.30_ 
337.9_ ,189.0_ ,0.0_ ,174.9_ ,9.5_ ,944.7_ ,755.8_ ,56_ ,59.89_ 
374.0_ ,189.2_ ,0.0_ ,170.1_ ,10.1_ ,926.1_ ,756.7_ ,91_ ,64.90_ 
313.3_ ,262.2_ ,0.0_ ,175.5_ ,8.6_ ,1046.9_ ,611.8_ ,91_ ,66.60_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,91_ ,65.20_ 
425.0_ ,106.3_ ,0.0_ ,151.4_ ,18.6_ ,936.0_ ,803.7_ ,91_ ,66.70_ 
375.0_ ,93.8_ ,0.0_ ,126.6_ ,23.4_ ,852.1_ ,992.6_ ,91_ ,62.50_ 
475.0_ ,118.8_ ,0.0_ ,181.1_ ,8.9_ ,852.1_ ,781.5_ ,91_ ,74.19_ 
469.0_ ,117.2_ ,0.0_ ,137.8_ ,32.2_ ,852.1_ ,840.5_ ,91_ ,70.70_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,91_ ,65.20_ 
388.6_ ,97.1_ ,0.0_ ,157.9_ ,12.1_ ,852.1_ ,925.7_ ,91_ ,57.60_ 
531.3_ ,0.0_ ,0.0_ ,141.8_ ,28.2_ ,852.1_ ,893.7_ ,91_ ,59.20_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,91_ ,65.20_ 
318.8_ ,212.5_ ,0.0_ ,155.7_ ,14.3_ ,852.1_ ,880.4_ ,91_ ,68.10_ 
401.8_ ,94.7_ ,0.0_ ,147.4_ ,11.4_ ,946.8_ ,852.1_ ,91_ ,75.50_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,91_ ,79.30_ 
379.5_ ,151.2_ ,0.0_ ,153.9_ ,15.9_ ,1134.3_ ,605.0_ ,91_ ,56.50_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,91_ ,79.30_ 
286.3_ ,200.9_ ,0.0_ ,144.7_ ,11.2_ ,1004.6_ ,803.7_ ,91_ ,76.80_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,91_ ,79.30_ 
439.0_ ,177.0_ ,0.0_ ,186.0_ ,11.1_ ,884.9_ ,707.9_ ,91_ ,73.30_ 
389.9_ ,189.0_ ,0.0_ ,145.9_ ,22.0_ ,944.7_ ,755.8_ ,91_ ,82.60_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,91_ ,79.30_ 
337.9_ ,189.0_ ,0.0_ ,174.9_ ,9.5_ ,944.7_ ,755.8_ ,91_ ,67.80_ 
222.4_ ,0.0_ ,96.7_ ,189.3_ ,4.5_ ,967.1_ ,870.3_ ,3_ ,11.58_ 
222.4_ ,0.0_ ,96.7_ ,189.3_ ,4.5_ ,967.1_ ,870.3_ ,14_ ,24.45_ 
222.4_ ,0.0_ ,96.7_ ,189.3_ ,4.5_ ,967.1_ ,870.3_ ,28_ ,24.89_ 
222.4_ ,0.0_ ,96.7_ ,189.3_ ,4.5_ ,967.1_ ,870.3_ ,56_ ,29.45_ 
222.4_ ,0.0_ ,96.7_ ,189.3_ ,4.5_ ,967.1_ ,870.3_ ,100_ ,40.71_ 
233.8_ ,0.0_ ,94.6_ ,197.9_ ,4.6_ ,947.0_ ,852.2_ ,3_ ,10.38_ 
233.8_ ,0.0_ ,94.6_ ,197.9_ ,4.6_ ,947.0_ ,852.2_ ,14_ ,22.14_ 
233.8_ ,0.0_ ,94.6_ ,197.9_ ,4.6_ ,947.0_ ,852.2_ ,28_ ,22.84_ 
233.8_ ,0.0_ ,94.6_ ,197.9_ ,4.6_ ,947.0_ ,852.2_ ,56_ ,27.66_ 
233.8_ ,0.0_ ,94.6_ ,197.9_ ,4.6_ ,947.0_ ,852.2_ ,100_ ,34.56_ 
194.7_ ,0.0_ ,100.5_ ,165.6_ ,7.5_ ,1006.4_ ,905.9_ ,3_ ,12.45_ 
194.7_ ,0.0_ ,100.5_ ,165.6_ ,7.5_ ,1006.4_ ,905.9_ ,14_ ,24.99_ 
194.7_ ,0.0_ ,100.5_ ,165.6_ ,7.5_ ,1006.4_ ,905.9_ ,28_ ,25.72_ 
194.7_ ,0.0_ ,100.5_ ,165.6_ ,7.5_ ,1006.4_ ,905.9_ ,56_ ,33.96_ 
194.7_ ,0.0_ ,100.5_ ,165.6_ ,7.5_ ,1006.4_ ,905.9_ ,100_ ,37.34_ 
190.7_ ,0.0_ ,125.4_ ,162.1_ ,7.8_ ,1090.0_ ,804.0_ ,3_ ,15.04_ 
190.7_ ,0.0_ ,125.4_ ,162.1_ ,7.8_ ,1090.0_ ,804.0_ ,14_ ,21.06_ 
190.7_ ,0.0_ ,125.4_ ,162.1_ ,7.8_ ,1090.0_ ,804.0_ ,28_ ,26.40_ 
190.7_ ,0.0_ ,125.4_ ,162.1_ ,7.8_ ,1090.0_ ,804.0_ ,56_ ,35.34_ 
190.7_ ,0.0_ ,125.4_ ,162.1_ ,7.8_ ,1090.0_ ,804.0_ ,100_ ,40.57_ 
212.1_ ,0.0_ ,121.6_ ,180.3_ ,5.7_ ,1057.6_ ,779.3_ ,3_ ,12.47_ 
212.1_ ,0.0_ ,121.6_ ,180.3_ ,5.7_ ,1057.6_ ,779.3_ ,14_ ,20.92_ 
212.1_ ,0.0_ ,121.6_ ,180.3_ ,5.7_ ,1057.6_ ,779.3_ ,28_ ,24.90_ 
212.1_ ,0.0_ ,121.6_ ,180.3_ ,5.7_ ,1057.6_ ,779.3_ ,56_ ,34.20_ 
212.1_ ,0.0_ ,121.6_ ,180.3_ ,5.7_ ,1057.6_ ,779.3_ ,100_ ,39.61_ 
230.0_ ,0.0_ ,118.3_ ,195.5_ ,4.6_ ,1029.4_ ,758.6_ ,3_ ,10.03_ 
230.0_ ,0.0_ ,118.3_ ,195.5_ ,4.6_ ,1029.4_ ,758.6_ ,14_ ,20.08_ 
230.0_ ,0.0_ ,118.3_ ,195.5_ ,4.6_ ,1029.4_ ,758.6_ ,28_ ,24.48_ 
230.0_ ,0.0_ ,118.3_ ,195.5_ ,4.6_ ,1029.4_ ,758.6_ ,56_ ,31.54_ 
230.0_ ,0.0_ ,118.3_ ,195.5_ ,4.6_ ,1029.4_ ,758.6_ ,100_ ,35.34_ 
190.3_ ,0.0_ ,125.2_ ,161.8_ ,9.9_ ,1088.1_ ,802.6_ ,3_ ,9.45_ 
190.3_ ,0.0_ ,125.2_ ,161.8_ ,9.9_ ,1088.1_ ,802.6_ ,14_ ,22.72_ 
190.3_ ,0.0_ ,125.2_ ,161.8_ ,9.9_ ,1088.1_ ,802.6_ ,28_ ,28.47_ 
190.3_ ,0.0_ ,125.2_ ,161.8_ ,9.9_ ,1088.1_ ,802.6_ ,56_ ,38.56_ 
190.3_ ,0.0_ ,125.2_ ,161.8_ ,9.9_ ,1088.1_ ,802.6_ ,100_ ,40.39_ 
166.1_ ,0.0_ ,163.3_ ,176.5_ ,4.5_ ,1058.6_ ,780.1_ ,3_ ,10.76_ 
166.1_ ,0.0_ ,163.3_ ,176.5_ ,4.5_ ,1058.6_ ,780.1_ ,14_ ,25.48_ 
166.1_ ,0.0_ ,163.3_ ,176.5_ ,4.5_ ,1058.6_ ,780.1_ ,28_ ,21.54_ 
