,No,age,bmi,children,charges,region_IDN,region_northeast,region_northwest,region_southeast,region_southwest,sex_IDN,sex_female,sex_male,smoker_IDN,smoker_no,smoker_yes
64,64,20.0,22.42,0.0,14711.7438,0,0,1,0,0,0,1,0,0,0,1
65,65,19.0,28.9,0.0,13311.265686102104,1,0,0,0,0,0,1,0,0,1,0
66,66,61.0,39.1,0.0,14235.072,0,0,0,0,1,0,1,0,0,1,0
67,67,40.0,26.315,1.0,6389.37785,0,0,1,0,0,0,0,1,0,1,0
68,68,40.0,36.19,0.0,5920.1041,0,0,0,1,0,0,1,0,0,1,0
69,69,28.0,23.98,3.0,17663.1442,1,0,0,0,0,0,0,1,0,0,1
70,70,27.0,24.75,0.0,16577.7795,0,0,0,1,0,0,1,0,0,0,1
71,71,31.0,28.5,5.0,6799.4580000000005,1,0,0,0,0,0,0,1,0,1,0
72,72,53.0,28.1,3.0,11741.726,0,0,0,0,1,0,1,0,0,1,0
73,73,58.0,30.631379032258067,1.0,11946.6259,0,0,0,1,0,1,0,0,0,1,0
74,74,44.0,27.4,2.0,7726.854,0,0,0,0,1,0,0,1,0,1,0
75,75,57.0,34.01,0.0,11356.6609,0,0,1,0,0,0,0,1,0,1,0
76,76,29.0,29.59,1.0,3947.4131,0,0,0,1,0,0,1,0,0,1,0
77,77,21.0,35.53,0.0,1532.4697,0,0,0,1,0,0,0,1,1,0,0
78,78,22.0,39.805,0.0,2755.02095,0,1,0,0,0,1,0,0,0,1,0
79,79,41.0,32.965,0.0,6571.02435,1,0,0,0,0,0,1,0,0,1,0
80,80,31.0,26.885,1.0,4441.21315,0,1,0,0,0,0,0,1,0,1,0
81,81,45.0,38.285,0.0,7935.29115,0,1,0,0,0,0,1,0,0,1,0
82,82,22.0,37.62,1.0,37165.1638,0,0,0,1,0,0,0,1,0,0,1
83,83,48.0,41.23,4.0,11033.6617,0,0,1,0,0,0,1,0,0,1,0
84,84,37.0,34.8,0.0,39836.519,0,0,0,0,1,0,1,0,0,0,1
85,85,39.0,22.895,0.0,21098.55405,0,0,1,0,0,0,0,1,0,0,1
86,86,57.0,31.16,0.0,43578.9394,0,0,1,0,0,0,1,0,0,0,1
87,87,56.0,27.2,0.0,11073.176,0,0,0,0,1,0,1,0,0,1,0
88,88,46.0,27.74,0.0,8026.6666,0,0,1,0,0,0,1,0,0,1,0
89,89,55.0,26.98,0.0,11082.5772,0,0,1,0,0,0,1,0,0,1,0
90,90,21.0,39.49,0.0,2026.9741,0,0,0,1,0,0,1,0,0,1,0
91,91,53.0,24.795,1.0,10942.13205,0,0,1,0,0,1,0,0,0,1,0
92,92,39.0,29.83,3.0,30184.9367,0,1,0,0,0,0,0,1,0,0,1
93,93,35.0,34.77,2.0,5729.0053,0,0,1,0,0,0,0,1,0,1,0
94,94,64.0,31.3,2.0,47291.055,0,0,0,0,1,0,1,0,0,0,1
95,95,28.0,30.631379032258067,1.0,3766.8838,0,0,0,1,0,0,1,0,0,1,0
96,96,54.0,30.8,3.0,12105.32,0,0,0,0,1,0,1,0,0,1,0
97,97,55.0,38.28,0.0,10226.2842,0,0,0,1,0,0,0,1,0,1,0
98,98,56.0,19.95,0.0,22412.6485,0,1,0,0,0,0,0,1,0,0,1
99,99,38.0,19.3,0.0,13311.265686102104,0,0,0,0,1,1,0,0,0,0,1
100,100,41.0,31.6,0.0,6186.127,0,0,0,0,1,0,1,0,0,1,0
101,101,30.0,25.46,0.0,3645.0894,0,1,0,0,0,0,0,1,0,1,0
102,102,18.0,30.115,0.0,21344.8467,0,1,0,0,0,1,0,0,0,1,0
103,103,61.0,29.92,3.0,30942.1918,0,0,0,1,0,0,1,0,0,0,1
104,104,34.0,27.5,1.0,5003.853,1,0,0,0,0,0,1,0,0,1,0
105,105,20.0,28.025,1.0,17560.37975,0,0,1,0,0,0,0,1,0,0,1
106,106,19.0,28.4,1.0,2331.519,1,0,0,0,0,0,1,0,0,1,0
107,107,26.0,30.875,2.0,3877.30425,0,0,1,0,0,0,0,1,0,1,0
108,108,29.0,27.94,0.0,2867.1196,0,0,0,1,0,0,0,1,0,1,0
109,109,63.0,35.09,0.0,47055.5321,0,0,0,1,0,1,0,0,0,0,1
110,110,54.0,33.63,1.0,10825.2537,0,0,1,0,0,0,0,1,0,1,0
111,111,55.0,29.7,2.0,11881.358,0,0,0,0,1,0,1,0,0,1,0
112,112,37.0,30.8,0.0,4646.759,0,0,0,0,1,0,0,1,0,1,0
113,113,21.0,30.631379032258067,0.0,2404.7338,0,0,1,0,0,1,0,0,0,1,0
114,114,52.0,32.205,3.0,11488.31695,1,0,0,0,0,0,0,1,1,0,0
115,115,39.0,28.595,0.0,30259.995560000003,0,1,0,0,0,0,0,1,0,1,0
116,116,58.0,49.06,0.0,11381.3254,0,0,0,1,0,0,0,1,0,1,0
117,117,29.0,27.94,1.0,13311.265686102104,1,0,0,0,0,1,0,0,0,0,1
118,118,49.0,27.17,0.0,8601.3293,0,0,0,1,0,0,1,0,0,1,0
119,119,37.0,23.37,2.0,6686.4313,0,0,1,0,0,0,1,0,0,1,0
120,120,44.0,37.1,2.0,7740.336999999999,0,0,0,0,1,1,0,0,0,1,0
121,121,18.0,23.75,0.0,1705.6245,0,1,0,0,0,0,0,1,0,1,0
122,122,20.0,28.975,0.0,2257.47525,1,0,0,0,0,0,1,0,0,1,0
123,123,44.0,31.35,1.0,39556.4945,0,1,0,0,0,0,0,1,0,0,1
124,124,47.0,33.915,3.0,10115.00885,0,0,1,0,0,0,1,0,0,1,0
125,125,26.0,30.631379032258067,0.0,3385.39915,0,1,0,0,0,0,1,0,0,1,0
126,126,19.0,28.3,0.0,17081.08,0,0,0,0,1,0,1,0,0,0,1
127,127,52.0,37.4,0.0,9634.538,1,0,0,0,0,0,1,0,0,1,0
128,128,32.0,17.765,2.0,32734.1863,0,0,1,0,0,0,1,0,0,0,1
129,129,38.0,30.631379032258067,2.0,6082.405,0,0,0,0,1,0,0,1,0,1,0
130,130,59.0,26.505,0.0,12815.44495,0,1,0,0,0,0,1,0,0,1,0
131,131,61.0,22.04,0.0,13616.3586,0,1,0,0,0,0,1,0,0,1,0
132,132,53.0,35.9,2.0,11163.568,0,0,0,0,1,0,1,0,0,1,0
133,133,19.0,25.555,0.0,1632.56445,0,0,1,0,0,0,0,1,0,1,0
134,134,20.0,28.785,0.0,2457.21115,1,0,0,0,0,0,1,0,0,1,0
135,135,22.0,28.05,0.0,2155.6815,0,0,0,1,0,0,1,0,0,1,0
136,136,19.0,34.1,0.0,1261.442,1,0,0,0,0,0,0,1,0,1,0
137,137,22.0,25.175,0.0,2045.68525,0,0,1,0,0,0,0,1,0,1,0
138,138,54.0,31.9,3.0,13311.265686102104,0,0,0,1,0,0,1,0,0,1,0
139,139,22.0,36.0,0.0,2166.732,0,0,0,0,1,0,1,0,0,1,0
140,140,34.0,22.42,2.0,27375.90478,0,1,0,0,0,0,0,1,0,1,0
141,141,26.0,32.49,1.0,3490.5491,0,1,0,0,0,0,0,1,0,1,0
142,142,34.0,25.3,2.0,18972.495,0,0,0,1,0,1,0,0,0,0,1
143,143,29.0,29.735,2.0,18157.876,0,0,1,0,0,0,0,1,0,1,0
144,144,30.0,28.69,3.0,20745.9891,0,0,1,0,0,0,0,1,0,0,1
145,145,29.0,38.83,3.0,5138.2567,0,0,0,1,0,0,1,0,0,1,0
146,146,46.0,30.495,3.0,40720.55105,0,0,1,0,0,0,0,1,0,0,1
147,147,51.0,37.73,1.0,9877.6077,1,0,0,0,0,0,1,0,0,1,0
148,148,53.0,37.43,0.0,10959.6947,0,0,1,0,0,0,1,0,0,1,0
149,149,19.0,28.4,1.0,1842.519,1,0,0,0,0,0,0,1,0,1,0
150,150,35.0,24.13,1.0,13311.265686102104,0,0,1,0,0,1,0,0,0,1,0
151,151,48.0,29.7,0.0,7789.635,0,0,0,1,0,0,0,1,0,1,0
152,152,32.0,37.145,3.0,6334.34355,0,1,0,0,0,0,1,0,0,1,0
153,153,42.0,23.37,0.0,19964.7463,0,1,0,0,0,0,1,0,0,0,1
154,154,40.0,25.46,1.0,7077.1894,0,1,0,0,0,0,1,0,0,1,0
155,155,44.0,39.52,0.0,6948.7008,0,0,1,0,0,0,0,1,0,1,0
156,156,48.0,24.42,0.0,21223.6758,0,0,0,1,0,1,0,0,0,0,1
157,157,18.0,25.175,0.0,15518.18025,0,1,0,0,0,0,0,1,1,0,0
158,158,30.0,35.53,0.0,36950.2567,1,0,0,0,0,0,0,1,0,0,1
159,159,50.0,27.83,3.0,19749.383380000003,0,0,0,1,0,0,1,0,0,1,0
160,160,42.0,26.6,0.0,21348.706,0,0,1,0,0,0,1,0,0,0,1
161,161,18.0,36.85,0.0,36149.4835,0,0,0,1,0,0,1,0,0,0,1
162,162,54.0,39.6,1.0,10450.552,0,0,0,0,1,0,0,1,0,1,0
163,163,32.0,29.8,2.0,5152.134,0,0,0,0,1,0,1,0,0,1,0
164,164,37.0,29.64,0.0,5028.1466,0,0,1,0,0,0,0,1,0,1,0
165,165,47.0,28.215,4.0,10407.08585,0,1,0,0,0,0,0,1,0,1,0
166,166,20.0,37.0,5.0,13311.265686102104,0,0,0,0,1,0,1,0,0,1,0
167,167,32.0,33.155,3.0,6128.79745,0,0,1,0,0,0,1,0,0,1,0
168,168,19.0,31.825,1.0,2719.27975,0,0,1,0,0,0,1,0,0,1,0
169,169,27.0,18.905,3.0,4827.90495,0,1,0,0,0,0,0,1,0,1,0
170,170,63.0,41.47,0.0,13405.3903,0,0,0,1,0,0,0,1,0,1,0
171,171,49.0,30.631379032258067,0.0,8116.68,0,0,0,0,1,0,0,1,0,1,0
172,172,18.0,30.631379032258067,0.0,1694.7964,0,1,0,0,0,0,0,1,0,1,0
173,173,35.0,34.8,1.0,5246.047,0,0,0,0,1,0,1,0,0,1,0
174,174,24.0,33.345,0.0,2855.43755,0,0,1,0,0,0,1,0,1,0,0
175,175,63.0,30.631379032258067,0.0,48824.45,0,0,0,0,1,0,1,0,0,0,1
176,176,38.0,27.835,2.0,6455.86265,0,0,1,0,0,0,0,1,0,1,0
177,177,54.0,29.2,1.0,10436.096,1,0,0,0,0,0,0,1,0,1,0
178,178,46.0,28.9,2.0,8823.279,0,0,0,0,1,0,1,0,0,1,0
179,179,41.0,33.155,3.0,8538.28845,0,1,0,0,0,0,1,0,0,1,0
180,180,58.0,28.595,0.0,11735.87905,0,0,1,0,0,0,0,1,0,1,0
181,181,18.0,38.28,0.0,1631.8212,1,0,0,0,0,0,1,0,0,1,0
182,182,22.0,19.95,3.0,4005.4225,0,1,0,0,0,0,0,1,0,1,0
183,183,44.0,26.41,0.0,7419.4779,0,0,1,0,0,0,1,0,0,1,0
184,184,44.0,30.69,2.0,7731.4271,1,0,0,0,0,0,0,1,0,1,0
185,185,36.0,41.895,3.0,43753.33705,0,1,0,0,0,0,0,1,0,0,1
186,186,26.0,29.92,2.0,3981.9768,0,0,0,1,0,0,1,0,0,1,0
187,187,30.0,30.9,3.0,5325.651,1,0,0,0,0,0,1,0,0,1,0
188,188,41.0,32.2,1.0,6775.960999999999,0,0,0,0,1,1,0,0,0,1,0
189,189,29.0,32.11,2.0,4922.9159,0,0,1,0,0,0,1,0,0,1,0
190,190,61.0,31.57,0.0,12557.6053,0,0,0,1,0,0,0,1,0,1,0
191,191,36.0,30.631379032258067,0.0,4883.866,0,0,0,0,1,0,1,0,0,1,0
192,192,25.0,25.74,0.0,2137.6536,0,0,0,1,0,0,0,1,0,1,0
193,193,56.0,26.6,1.0,12044.342,1,0,0,0,0,0,1,0,0,1,0
194,194,18.0,34.43,0.0,1137.4697,0,0,0,1,0,0,0,1,0,1,0
195,195,19.0,30.59,0.0,1639.5631,0,0,1,0,0,1,0,0,0,1,0
196,196,39.0,32.8,0.0,5649.715,0,0,0,0,1,0,1,0,0,1,0
197,197,45.0,28.6,2.0,8516.829,0,0,0,1,0,0,1,0,0,1,0
198,198,51.0,18.05,0.0,9644.2525,0,0,1,0,0,0,1,0,0,1,0
199,199,64.0,39.33,0.0,14901.5167,0,1,0,0,0,0,1,0,0,1,0
200,200,19.0,32.11,0.0,2130.6759,0,0,1,0,0,0,1,0,0,1,0
201,201,48.0,30.631379032258067,1.0,13311.265686102104,0,0,0,1,0,0,1,0,0,1,0
202,202,60.0,24.035,0.0,13012.20865,0,0,1,0,0,0,1,0,0,1,0
203,203,27.0,36.08,0.0,37133.8982,0,0,0,1,0,0,1,0,0,0,1
204,204,39.0,22.3,0.0,7147.105,0,0,0,0,1,0,0,1,0,1,0
205,205,28.0,28.88,1.0,4337.7352,0,1,0,0,0,0,1,0,0,1,0
206,206,59.0,26.4,0.0,11743.299,0,0,0,1,0,0,0,1,0,1,0
207,207,35.0,27.74,2.0,20984.0936,0,1,0,0,0,0,0,1,0,0,1
208,208,63.0,31.8,0.0,13880.949,0,0,0,0,1,0,1,0,0,1,0
209,209,40.0,41.23,1.0,6610.1097,0,1,0,0,0,0,0,1,0,1,0
210,210,20.0,33.0,1.0,1980.07,0,0,0,0,1,0,0,1,0,1,0
211,211,40.0,30.875,4.0,8162.71625,0,0,1,0,0,0,0,1,0,1,0
212,212,24.0,28.5,2.0,3537.703,0,0,1,0,0,0,0,1,0,1,0
213,213,34.0,26.73,1.0,5002.7827,0,0,0,1,0,0,1,0,0,1,0
214,214,45.0,30.9,2.0,8520.026,0,0,0,0,1,0,1,0,0,1,0
215,215,41.0,30.631379032258067,0.0,7371.772,0,0,0,0,1,0,1,0,0,1,0
216,216,53.0,26.6,0.0,13311.265686102104,0,0,1,0,0,0,1,0,0,1,0
217,217,27.0,23.1,0.0,2483.736,0,0,0,1,0,0,0,1,0,1,0
218,218,26.0,29.92,1.0,13311.265686102104,1,0,0,0,0,0,1,0,0,1,0
219,219,24.0,23.21,0.0,25081.76784,0,0,0,1,0,0,1,0,0,1,0
220,220,34.0,33.7,1.0,5012.471,0,0,0,0,1,0,1,0,0,1,0
221,221,53.0,33.25,0.0,10564.8845,0,1,0,0,0,0,1,0,0,1,0
222,222,32.0,30.8,3.0,5253.524,0,0,0,0,1,1,0,0,0,1,0
223,223,19.0,34.8,0.0,34779.615,0,0,0,0,1,0,0,1,0,0,1
224,224,42.0,30.631379032258067,0.0,19515.5416,0,0,0,1,0,0,0,1,0,0,1
225,225,55.0,33.88,3.0,11987.1682,0,0,0,1,0,0,0,1,0,1,0
226,226,28.0,38.06,0.0,2689.4954,0,0,0,1,0,0,0,1,0,1,0
227,227,58.0,41.91,0.0,24227.33724,0,0,0,1,0,0,1,0,0,1,0
228,228,41.0,31.635,1.0,7358.17565,0,1,0,0,0,0,1,0,0,1,0
229,229,47.0,25.46,2.0,9225.2564,1,0,0,0,0,0,0,1,0,1,0
230,230,42.0,36.195,1.0,13311.265686102104,0,0,1,0,0,1,0,0,0,1,0
231,231,59.0,27.83,0.0,14001.2867,0,0,0,1,0,0,1,0,0,1,0
232,232,19.0,17.8,0.0,1727.785,1,0,0,0,0,0,1,0,0,1,0
233,233,59.0,27.5,1.0,12333.828,0,0,0,0,1,0,0,1,0,1,0
234,234,39.0,24.51,2.0,6710.1919,0,0,1,0,0,0,0,1,0,1,0
235,235,40.0,22.22,2.0,19444.2658,0,0,0,1,0,0,1,0,0,0,1
236,236,18.0,26.73,0.0,1615.7667,0,0,0,1,0,0,1,0,0,1,0
237,237,31.0,38.39,2.0,13311.265686102104,0,0,0,1,0,0,0,1,0,1,0
238,238,19.0,29.07,0.0,17352.6803,0,0,1,0,0,0,0,1,0,0,1
239,239,44.0,38.06,1.0,7152.6714,0,0,0,1,0,0,0,1,0,1,0
240,240,23.0,36.67,2.0,38511.6283,0,1,0,0,0,1,0,0,0,0,1
241,241,33.0,22.135,1.0,5354.07465,0,1,0,0,0,0,1,0,0,1,0
242,242,55.0,26.8,1.0,35160.13457,0,0,0,0,1,0,1,0,0,1,0
243,243,40.0,35.3,3.0,7196.866999999999,0,0,0,0,1,0,0,1,0,1,0
244,244,63.0,27.74,0.0,29523.1656,0,1,0,0,0,0,1,0,0,0,1
245,245,54.0,30.02,0.0,24476.47851,0,0,1,0,0,0,0,1,0,1,0
246,246,60.0,38.06,0.0,12648.7034,0,0,0,1,0,1,0,0,0,1,0
247,247,24.0,35.86,0.0,1986.9334,0,0,0,1,0,0,0,1,0,1,0
248,248,19.0,30.631379032258067,1.0,1832.094,0,0,0,0,1,0,0,1,0,1,0
249,249,29.0,28.975,1.0,4040.55825,0,1,0,0,0,1,0,0,0,1,0
250,250,18.0,30.631379032258067,2.0,12829.4551,1,0,0,0,0,0,0,1,0,0,1
251,251,63.0,32.2,2.0,47305.305,0,0,0,0,1,1,0,0,0,0,1
252,252,54.0,34.21,2.0,44260.7499,0,0,0,1,0,0,0,1,0,0,1
253,253,27.0,30.3,3.0,4260.744000000001,0,0,0,0,1,0,0,1,0,1,0
254,254,50.0,31.825,0.0,41097.16175,0,1,0,0,0,0,0,1,0,0,1
255,255,55.0,25.365,3.0,13047.33235,0,1,0,0,0,0,1,0,0,1,0
256,256,56.0,33.63,0.0,43921.1837,0,0,1,0,0,0,0,1,0,0,1
257,257,38.0,40.15,0.0,5400.9805,0,0,0,1,0,0,1,0,0,1,0
258,258,51.0,24.415,4.0,11520.09985,0,0,1,0,0,0,0,1,0,1,0
259,259,19.0,31.92,0.0,33750.2918,0,0,1,0,0,0,0,1,0,0,1
260,260,58.0,25.2,0.0,11837.16,0,0,0,0,1,0,1,0,1,0,0
261,261,20.0,26.84,1.0,17085.2676,0,0,0,1,0,0,1,0,0,0,1
262,262,52.0,24.32,3.0,24869.8368,0,1,0,0,0,0,0,1,0,0,1
263,263,19.0,36.955,0.0,36219.40545,0,0,1,0,0,0,0,1,0,0,1
264,264,53.0,38.06,3.0,20462.99766,0,0,0,1,0,0,1,0,0,1,0
265,265,46.0,42.35,3.0,46151.1245,1,0,0,0,0,0,0,1,0,0,1
266,266,40.0,19.8,1.0,17179.522,0,0,0,1,0,0,0,1,0,0,1
267,267,59.0,32.395,3.0,14590.63205,0,1,0,0,0,0,1,0,1,0,0
268,268,45.0,30.2,1.0,7441.053000000001,0,0,0,0,1,0,0,1,0,1,0
269,269,49.0,25.84,1.0,9282.4806,0,1,0,0,0,0,0,1,0,1,0
270,270,18.0,29.37,1.0,1719.4363,0,0,0,1,0,0,0,1,0,1,0
271,271,50.0,34.2,2.0,42856.838,0,0,0,0,1,0,0,1,0,0,1
272,272,41.0,37.05,2.0,7265.7025,0,0,1,0,0,0,0,1,0,1,0
273,273,50.0,27.455,1.0,9617.66245,1,0,0,0,0,1,0,0,0,1,0
274,274,25.0,27.55,0.0,2523.1695,1,0,0,0,0,0,0,1,0,1,0
275,275,47.0,26.6,2.0,9715.841,0,1,0,0,0,1,0,0,0,1,0
276,276,19.0,20.615,0.0,2803.69785,0,0,1,0,0,0,0,1,1,0,0
277,277,22.0,24.3,0.0,2150.469,1,0,0,0,0,0,1,0,0,1,0
278,278,59.0,31.79,2.0,12928.7911,0,0,0,1,0,0,0,1,1,0,0
279,279,51.0,21.56,1.0,9855.1314,0,0,0,1,0,0,1,0,0,1,0
280,280,40.0,28.12,1.0,22331.5668,0,1,0,0,0,0,1,0,0,0,1
281,281,54.0,40.565,3.0,48549.17835,0,1,0,0,0,0,0,1,0,0,1
282,282,30.0,27.645,1.0,4237.12655,0,1,0,0,0,0,0,1,0,1,0
283,283,55.0,32.395,1.0,11879.10405,0,1,0,0,0,0,1,0,0,1,0
284,284,52.0,31.2,0.0,9625.92,0,0,0,0,1,0,1,0,0,1,0
285,285,46.0,26.62,1.0,7742.1098,0,0,0,1,0,0,0,1,0,1,0
286,286,46.0,48.07,2.0,9432.9253,0,1,0,0,0,0,1,0,0,1,0
287,287,63.0,26.22,0.0,14256.1928,0,0,1,0,0,0,1,0,0,1,0
288,288,59.0,36.765,1.0,47896.79135,0,1,0,0,0,0,1,0,0,0,1
289,289,52.0,26.4,3.0,25992.82104,1,0,0,0,0,0,0,1,0,1,0
290,290,28.0,33.4,0.0,3172.018,0,0,0,0,1,0,1,0,0,1,0
291,291,29.0,29.64,1.0,20277.80751,0,1,0,0,0,0,0,1,0,1,0
292,292,25.0,45.54,2.0,42112.2356,0,0,0,1,0,0,0,1,0,0,1
293,293,22.0,28.82,0.0,2156.7518,0,0,0,1,0,0,1,0,0,1,0
294,294,25.0,30.631379032258067,3.0,3906.127,0,0,0,0,1,0,0,1,0,1,0
295,295,18.0,22.99,0.0,1704.5681,0,1,0,0,0,0,0,1,0,1,0
296,296,19.0,27.7,0.0,16297.846,0,0,0,0,1,0,0,1,0,0,1
297,297,47.0,25.41,1.0,21978.6769,0,0,0,1,0,0,0,1,0,0,1
298,298,31.0,34.39,0.0,38746.3551,0,0,1,0,0,1,0,0,0,0,1
299,299,48.0,28.88,1.0,9249.4952,0,0,1,0,0,0,1,0,0,1,0
300,300,36.0,27.55,3.0,6746.7425,0,1,0,0,0,0,0,1,0,1,0
301,301,53.0,22.61,3.0,24873.3849,0,1,0,0,0,0,1,0,0,0,1
302,302,56.0,37.51,2.0,12265.5069,0,0,0,1,0,0,1,0,0,1,0
303,303,28.0,33.0,2.0,4349.462,0,0,0,1,0,0,1,0,0,1,0
304,304,57.0,38.0,2.0,12646.207,0,0,0,0,1,0,1,0,0,1,0
305,305,29.0,33.345,2.0,19442.3535,0,0,1,0,0,0,0,1,0,1,0
306,306,28.0,27.5,0.0,20177.67113,0,0,0,0,1,0,1,0,0,1,0
307,307,30.0,30.631379032258067,1.0,4151.0287,0,0,0,1,0,0,1,0,0,1,0
308,308,58.0,34.865,0.0,11944.59435,0,1,0,0,0,0,0,1,0,1,0
309,309,41.0,33.06,2.0,7749.1564,0,0,1,0,0,0,1,0,0,1,0
310,310,50.0,26.6,0.0,8444.474,0,0,0,0,1,0,0,1,0,1,0
311,311,19.0,24.7,0.0,1737.376,0,0,0,0,1,0,1,0,0,1,0
312,312,43.0,35.97,3.0,42124.5153,0,0,0,1,0,0,0,1,0,0,1
