,Producto,Categoria,Precio_Unitario,Inventario_Disponible,Unidades_Vendidas,Marca,Oferta,Peso,Resolución,Conexión
45,Disco Duro,Almacenamiento,1061.2789696601767,30,3,MarcaC,True,1.0130794464894177,1TB,SATA
46,Impresora,Impresoras,605.2243989162342,32,2,MarcaA,True,3.06308153871362,N/A,USB
47,Router,Redes,876.088427531154,23,14,MarcaB,False,3.9056637786498105,N/A,WiFi
48,Cámara Web,Accesorios,910.7233631462635,47,14,MarcaC,False,2.2980751642140222,720p,USB
49,Auriculares,Audio,440.3107921831852,9,9,MarcaA,False,2.392651223106757,N/A,3.5mm
50,Laptop,Computadoras,1460.460016093926,37,8,MarcaA,True,3.3468169421801237,Full HD,WiFi
51,Tablet,Computadoras,1207.672670369449,24,10,MarcaB,False,2.7744138267385154,HD,WiFi
52,Monitor,Monitores,1421.348624033446,34,2,MarcaC,False,0.5838273174997287,4K,HDMI
53,Teclado,Accesorios,1363.2755555559436,49,6,MarcaA,True,1.0111243382248993,N/A,USB
54,Mouse,Accesorios,977.2699724544107,12,3,MarcaB,True,3.1172000698643125,N/A,USB
55,Disco Duro,Almacenamiento,1398.4365055300518,42,3,MarcaC,False,4.071481293640398,1TB,SATA
56,Impresora,Impresoras,315.04025266749534,21,5,MarcaA,False,3.933964154434802,N/A,USB
57,Router,Redes,454.77772114488874,48,7,MarcaB,False,3.8302545168214026,N/A,WiFi
58,Cámara Web,Accesorios,258.7954755836995,5,7,MarcaC,True,3.970726772936603,720p,USB
59,Auriculares,Audio,622.9294299922436,7,11,MarcaA,False,0.6999956434603538,N/A,3.5mm
60,Laptop,Computadoras,705.2804765963266,30,10,MarcaA,True,4.527957042331648,Full HD,WiFi
61,Tablet,Computadoras,552.7537413060647,35,1,MarcaB,False,4.5017739734525355,HD,WiFi
62,Monitor,Monitores,1277.3587618975082,12,11,MarcaC,True,2.8936579509392626,4K,HDMI
63,Teclado,Accesorios,663.779324701666,47,7,MarcaA,False,1.618674495209444,N/A,USB
64,Mouse,Accesorios,565.214862593595,12,7,MarcaB,False,3.1648031275164503,N/A,USB
65,Disco Duro,Almacenamiento,905.504908105723,39,6,MarcaC,False,3.0104866686887894,1TB,SATA
66,Impresora,Impresoras,383.20149246719143,43,6,MarcaA,True,1.5033074346059465,N/A,USB
67,Router,Redes,1242.8560749802516,32,13,MarcaB,True,3.2140858051790113,N/A,WiFi
68,Cámara Web,Accesorios,296.91583678370205,8,13,MarcaC,True,4.087823522452744,720p,USB
69,Auriculares,Audio,1482.9530175806724,20,2,MarcaA,True,4.1274808913536525,N/A,3.5mm
70,Laptop,Computadoras,1203.9182000856547,17,3,MarcaA,False,0.7686402002596147,Full HD,WiFi
71,Tablet,Computadoras,458.33038599442415,24,3,MarcaB,True,1.3872349031560898,HD,WiFi
72,Monitor,Monitores,207.17875226068313,9,13,MarcaC,True,3.5070051226693795,4K,HDMI
73,Teclado,Accesorios,1260.0998569912845,41,3,MarcaA,False,4.36924375436436,N/A,USB
74,Mouse,Accesorios,1118.9145470019023,24,2,MarcaB,True,2.8454768710214697,N/A,USB
75,Disco Duro,Almacenamiento,1147.7093184532835,28,9,MarcaC,False,3.683865507507412,1TB,SATA
76,Impresora,Impresoras,1202.6514506917295,40,6,MarcaA,True,0.5948240479560525,N/A,USB
77,Router,Redes,296.2580472543175,38,2,MarcaB,True,3.237893653484297,N/A,WiFi
78,Cámara Web,Accesorios,666.0054471075543,49,3,MarcaC,False,4.828591149964708,720p,USB
79,Auriculares,Audio,350.62977738266864,38,10,MarcaA,False,3.4745657316473206,N/A,3.5mm
80,Laptop,Computadoras,1322.0344536382715,23,6,MarcaA,False,4.650240724701439,Full HD,WiFi
81,Tablet,Computadoras,1010.2875648758253,21,4,MarcaB,False,3.0470425615898318,HD,WiFi
82,Monitor,Monitores,630.167432308444,9,7,MarcaC,True,4.295204319991674,4K,HDMI
83,Teclado,Accesorios,282.6258553718307,29,6,MarcaA,True,1.0587308371571638,N/A,USB
84,Mouse,Accesorios,604.2770182303609,22,6,MarcaB,False,1.0558096829906742,N/A,USB
85,Disco Duro,Almacenamiento,622.7383186347711,12,12,MarcaC,False,1.0408069813810754,1TB,SATA
86,Impresora,Impresoras,1148.4880318394833,31,3,MarcaA,True,2.699822984165191,N/A,USB
87,Router,Redes,1028.824712761777,19,11,MarcaB,False,1.9861860237670177,N/A,WiFi
88,Cámara Web,Accesorios,1353.3765653492244,49,8,MarcaC,True,3.7363363418346616,720p,USB
89,Auriculares,Audio,813.8794027105341,17,9,MarcaA,False,4.561798614351788,N/A,3.5mm
90,Laptop,Computadoras,355.4725197197922,20,6,MarcaA,False,3.287186728580669,Full HD,WiFi
91,Tablet,Computadoras,1127.2182233898934,26,2,MarcaB,False,1.4594475024436069,HD,WiFi
92,Monitor,Monitores,1189.0205632019665,24,1,MarcaC,False,4.688945903881011,4K,HDMI
93,Teclado,Accesorios,929.6603568403451,17,3,MarcaA,True,2.875358021620922,N/A,USB
94,Mouse,Accesorios,1202.2573339409291,24,3,MarcaB,False,3.7397549891108985,N/A,USB
95,Disco Duro,Almacenamiento,841.934275273708,6,8,MarcaC,True,4.507276326958297,1TB,SATA
96,Impresora,Impresoras,879.5526781965923,39,5,MarcaA,False,4.954243694445061,N/A,USB
97,Router,Redes,755.8033238661145,23,1,MarcaB,False,2.7772877709575323,N/A,WiFi
98,Cámara Web,Accesorios,233.04486476732376,49,11,MarcaC,True,4.136282234076532,720p,USB
99,Auriculares,Audio,340.2588550912958,41,4,MarcaA,False,3.050901793932089,N/A,3.5mm
100,Laptop,Computadoras,240.85794139275453,10,7,MarcaA,True,2.689042756981127,Full HD,WiFi
101,Tablet,Computadoras,1027.3335346429144,18,5,MarcaB,False,2.919706336743304,HD,WiFi
102,Monitor,Monitores,608.6627753992248,8,10,MarcaC,True,2.679238597197669,4K,HDMI
103,Teclado,Accesorios,861.1418985141136,26,13,MarcaA,False,2.3946265345760627,N/A,USB
104,Mouse,Accesorios,1379.836416103921,43,6,MarcaB,False,3.756743107312945,N/A,USB
105,Disco Duro,Almacenamiento,524.0798978935375,40,14,MarcaC,False,1.6235411717644663,1TB,SATA
106,Impresora,Impresoras,733.4977999463187,38,10,MarcaA,False,3.2737165961270027,N/A,USB
107,Router,Redes,1182.2164801059632,31,4,MarcaB,False,3.708320799939933,N/A,WiFi
108,Cámara Web,Accesorios,497.4376151391092,11,2,MarcaC,True,4.5144087502581725,720p,USB
109,Auriculares,Audio,300.07388277743087,7,9,MarcaA,True,1.9934471702191356,N/A,3.5mm
110,Laptop,Computadoras,576.6768887878984,37,2,MarcaA,True,4.37269596582229,Full HD,WiFi
111,Tablet,Computadoras,409.58767343020577,6,2,MarcaB,False,4.753810270966387,HD,WiFi
112,Monitor,Monitores,1408.606948045345,46,13,MarcaC,False,3.4190572223377345,4K,HDMI
113,Teclado,Accesorios,1250.556493433742,20,12,MarcaA,False,3.971448535653559,N/A,USB
114,Mouse,Accesorios,1023.4248834635505,29,2,MarcaB,True,2.3256813191849304,N/A,USB
115,Disco Duro,Almacenamiento,1332.898767244033,19,1,MarcaC,True,4.784609389031117,1TB,SATA
116,Impresora,Impresoras,1244.7736999688489,28,13,MarcaA,True,3.5188765478889086,N/A,USB
117,Router,Redes,442.5410765518466,19,12,MarcaB,False,1.8957056387799538,N/A,WiFi
118,Cámara Web,Accesorios,1360.326698036971,35,12,MarcaC,False,2.319176062553103,720p,USB
119,Auriculares,Audio,901.144914490346,18,3,MarcaA,True,3.2798998135920927,N/A,3.5mm
120,Laptop,Computadoras,1249.6722017132813,18,6,MarcaA,True,1.553608240305328,Full HD,WiFi
121,Tablet,Computadoras,1364.9186899005413,10,7,MarcaB,True,3.8926148195313144,HD,WiFi
122,Monitor,Monitores,613.404517463423,18,1,MarcaC,True,1.511111823213394,4K,HDMI
123,Teclado,Accesorios,343.0675018859798,21,14,MarcaA,False,3.1630513809692267,N/A,USB
124,Mouse,Accesorios,496.3157113045242,22,5,MarcaB,True,3.6365293084767227,N/A,USB
125,Disco Duro,Almacenamiento,755.2401252141332,24,5,MarcaC,False,4.368865530476924,1TB,SATA
126,Impresora,Impresoras,1263.419195699241,21,1,MarcaA,False,3.8025518710501993,N/A,USB
127,Router,Redes,1318.9497582332465,20,4,MarcaB,False,4.094712911985282,N/A,WiFi
128,Cámara Web,Accesorios,209.03776969054792,44,10,MarcaC,False,4.608193106740317,720p,USB
129,Auriculares,Audio,863.9714933508354,43,1,MarcaA,False,3.1899720254993253,N/A,3.5mm
130,Laptop,Computadoras,742.6343040934127,36,13,MarcaA,False,4.308260047979075,Full HD,WiFi
131,Tablet,Computadoras,488.7401536119493,48,14,MarcaB,True,1.5434250396132743,HD,WiFi
132,Monitor,Monitores,355.82497753378766,13,1,MarcaC,True,4.166299268563878,4K,HDMI
133,Teclado,Accesorios,638.8997228247163,31,12,MarcaA,True,1.4975903358791611,N/A,USB
134,Mouse,Accesorios,1425.782615086275,37,7,MarcaB,True,4.705831484342509,N/A,USB
135,Disco Duro,Almacenamiento,620.1638116269818,14,7,MarcaC,False,1.984880018559509,1TB,SATA
136,Impresora,Impresoras,874.4278082663759,21,3,MarcaA,True,1.2732709917902578,N/A,USB
137,Router,Redes,1113.9246465637311,40,7,MarcaB,False,1.1667594205814085,N/A,WiFi
138,Cámara Web,Accesorios,672.7184830930821,21,3,MarcaC,True,1.3427249762202456,720p,USB
139,Auriculares,Audio,1463.316707537249,22,2,MarcaA,True,2.513931388534247,N/A,3.5mm
140,Laptop,Computadoras,1451.1814834247446,27,10,MarcaA,False,2.8496722598602653,Full HD,WiFi
141,Tablet,Computadoras,527.3169845729734,38,4,MarcaB,False,4.612036246357634,HD,WiFi
142,Monitor,Monitores,846.4230576601011,12,14,MarcaC,True,2.2145666131746298,4K,HDMI
143,Teclado,Accesorios,591.1418027618006,17,10,MarcaA,True,1.4786703895417435,N/A,USB
144,Mouse,Accesorios,570.2926426907079,27,3,MarcaB,False,3.8471950032772173,N/A,USB
145,Disco Duro,Almacenamiento,247.95303156089264,24,12,MarcaC,False,1.1059448356787267,1TB,SATA
146,Impresora,Impresoras,992.4336341738659,26,7,MarcaA,False,4.515275174068345,N/A,USB
147,Router,Redes,853.4827301975199,27,12,MarcaB,False,2.342298358439618,N/A,WiFi
148,Cámara Web,Accesorios,266.92237662498616,45,12,MarcaC,False,3.2622866764474088,720p,USB
149,Auriculares,Audio,562.2404035075949,39,1,MarcaA,False,1.3378295417743518,N/A,3.5mm
150,Laptop,Computadoras,1380.7456517566497,7,6,MarcaA,False,1.1548811708592652,Full HD,WiFi
151,Tablet,Computadoras,511.43045786706415,38,14,MarcaB,False,4.0947771863968505,HD,WiFi
152,Monitor,Monitores,388.36333371859,37,2,MarcaC,False,2.4336603136155195,4K,HDMI
153,Teclado,Accesorios,836.2885883608319,21,8,MarcaA,False,4.940342657267946,N/A,USB
154,Mouse,Accesorios,1481.345590343781,49,14,MarcaB,True,2.859340750036032,N/A,USB
155,Disco Duro,Almacenamiento,514.6718529649505,23,5,MarcaC,False,4.305438098409604,1TB,SATA
156,Impresora,Impresoras,1073.7762116276422,34,3,MarcaA,False,4.909836554246459,N/A,USB
157,Router,Redes,1190.1054999273329,27,10,MarcaB,True,1.765175726788257,N/A,WiFi
158,Cámara Web,Accesorios,508.9288071901196,19,7,MarcaC,False,4.103967704699148,720p,USB
159,Auriculares,Audio,1146.6812531954174,18,14,MarcaA,True,0.599027734960907,N/A,3.5mm
160,Laptop,Computadoras,678.1180725350291,6,11,MarcaA,False,3.5588935312746295,Full HD,WiFi
161,Tablet,Computadoras,1021.9975797716534,43,2,MarcaB,True,3.853404910030322,HD,WiFi
162,Monitor,Monitores,1023.5886239891631,22,5,MarcaC,False,2.6481367059597605,4K,HDMI
163,Teclado,Accesorios,896.507089297186,10,11,MarcaA,True,1.229473445528759,N/A,USB
164,Mouse,Accesorios,317.3767010707308,36,8,MarcaB,True,3.275242466353024,N/A,USB
165,Disco Duro,Almacenamiento,1285.8932442660093,25,13,MarcaC,False,4.5388789674600085,1TB,SATA
166,Impresora,Impresoras,617.0140844632566,44,11,MarcaA,False,4.6909363981022105,N/A,USB
167,Router,Redes,442.4740635198105,32,1,MarcaB,True,3.8574607568882127,N/A,WiFi
168,Cámara Web,Accesorios,253.00768402119309,31,1,MarcaC,True,1.686709662915209,720p,USB
169,Auriculares,Audio,968.1608261447144,6,3,MarcaA,True,4.4164711672696395,N/A,3.5mm
170,Laptop,Computadoras,1080.8336703949672,37,3,MarcaA,False,4.4997038001576275,Full HD,WiFi
171,Tablet,Computadoras,221.564177606213,20,13,MarcaB,True,2.1525899258534924,HD,WiFi
172,Monitor,Monitores,865.7209757890653,43,7,MarcaC,True,1.323417814446563,4K,HDMI
173,Teclado,Accesorios,494.44450775731934,26,6,MarcaA,True,4.435967453600157,N/A,USB
174,Mouse,Accesorios,1038.7246275322848,47,7,MarcaB,True,4.482937918637664,N/A,USB
175,Disco Duro,Almacenamiento,426.6763577064889,17,4,MarcaC,False,0.9540773804804634,1TB,SATA
176,Impresora,Impresoras,1098.2190595332058,6,11,MarcaA,False,4.851429315001197,N/A,USB
177,Router,Redes,702.7559501906986,18,2,MarcaB,True,2.89886248885459,N/A,WiFi
178,Cámara Web,Accesorios,1417.748985357755,42,2,MarcaC,False,4.971785877243213,720p,USB
179,Auriculares,Audio,378.7772273897912,45,10,MarcaA,False,2.5025371259750666,N/A,3.5mm
180,Laptop,Computadoras,643.3862563653361,32,1,MarcaA,True,2.8997750271179665,Full HD,WiFi
181,Tablet,Computadoras,347.5155776127658,11,14,MarcaB,True,1.6973727438706052,HD,WiFi
182,Monitor,Monitores,1402.1017037621316,22,13,MarcaC,False,4.545263504819163,4K,HDMI
183,Teclado,Accesorios,1340.5411593952754,45,14,MarcaA,False,2.4967045268265977,N/A,USB
184,Mouse,Accesorios,535.3241160297023,40,9,MarcaB,True,4.165763241323227,N/A,USB
185,Disco Duro,Almacenamiento,1057.9792598444328,45,14,MarcaC,True,0.8588042379278721,1TB,SATA
186,Impresora,Impresoras,1262.3888602615805,40,14,MarcaA,True,4.047109828226657,N/A,USB
187,Router,Redes,921.7610550793011,48,7,MarcaB,True,2.706094140131637,N/A,WiFi
188,Cámara Web,Accesorios,888.5457518628084,8,10,MarcaC,True,0.5243354587989768,720p,USB
189,Auriculares,Audio,514.4079781705872,34,3,MarcaA,False,1.518183225494577,N/A,3.5mm
190,Laptop,Computadoras,321.03359814766895,28,2,MarcaA,True,1.3717859514940263,Full HD,WiFi
191,Tablet,Computadoras,1366.3804853393249,24,14,MarcaB,True,3.882940615892479,HD,WiFi
192,Monitor,Monitores,1370.5434743123296,35,3,MarcaC,True,2.6474098540694837,4K,HDMI
193,Teclado,Accesorios,1023.0318944552483,28,7,MarcaA,True,1.2187327850919383,N/A,USB
194,Mouse,Accesorios,640.7387283633109,11,5,MarcaB,False,1.6556133967036366,N/A,USB
195,Disco Duro,Almacenamiento,653.9724469964592,30,12,MarcaC,False,2.7683456238764816,1TB,SATA
196,Impresora,Impresoras,1143.7423825313113,17,3,MarcaA,False,0.5883718879385325,N/A,USB
197,Router,Redes,1366.2433379383501,12,9,MarcaB,False,2.408565146447182,N/A,WiFi
198,Cámara Web,Accesorios,1353.2123515446524,9,2,MarcaC,False,3.5512763164418306,720p,USB
199,Auriculares,Audio,1213.8382096149112,48,7,MarcaA,False,2.8298956337864545,N/A,3.5mm
200,Laptop,Computadoras,1034.641140000574,17,10,MarcaA,True,3.1914479348397444,Full HD,WiFi
201,Tablet,Computadoras,309.3819544935635,33,6,MarcaB,True,1.9697815265524241,HD,WiFi
202,Monitor,Monitores,410.1173283229979,24,6,MarcaC,True,1.3238407580889011,4K,HDMI
203,Teclado,Accesorios,1368.120445085203,18,14,MarcaA,False,4.1438358065983145,N/A,USB
204,Mouse,Accesorios,988.3577775574669,36,7,MarcaB,False,4.575356921463622,N/A,USB
205,Disco Duro,Almacenamiento,211.95616710161855,31,6,MarcaC,False,2.798332566687021,1TB,SATA
206,Impresora,Impresoras,331.91300572584174,29,2,MarcaA,True,1.8726854566162587,N/A,USB
207,Router,Redes,1062.5522998404726,8,11,MarcaB,False,2.8004217328309347,N/A,WiFi
208,Cámara Web,Accesorios,206.5800590000843,25,5,MarcaC,True,4.45543484286828,720p,USB
209,Auriculares,Audio,409.0504668427483,22,3,MarcaA,False,3.6113285631880285,N/A,3.5mm
210,Laptop,Computadoras,913.3539261765619,43,9,MarcaA,True,4.363772388305529,Full HD,WiFi
211,Tablet,Computadoras,1099.4637570005011,19,8,MarcaB,False,1.9777074038512266,HD,WiFi
212,Monitor,Monitores,1047.5496373533806,42,10,MarcaC,True,3.7039060775187314,4K,HDMI
213,Teclado,Accesorios,491.5501022987277,28,11,MarcaA,True,3.4387203718022743,N/A,USB
214,Mouse,Accesorios,1125.8329877517967,12,2,MarcaB,False,3.0722740729268776,N/A,USB
215,Disco Duro,Almacenamiento,508.4238137458401,32,1,MarcaC,False,2.87701189353729,1TB,SATA
216,Impresora,Impresoras,623.0196076070481,25,4,MarcaA,True,2.979400474128186,N/A,USB
217,Router,Redes,1170.4388266534315,20,4,MarcaB,False,4.323519903770146,N/A,WiFi
218,Cámara Web,Accesorios,1044.5227687613792,20,12,MarcaC,False,4.621975254518652,720p,USB
219,Auriculares,Audio,1303.9904336424313,39,10,MarcaA,True,1.007872089733572,N/A,3.5mm
220,Laptop,Computadoras,1054.8967599904463,21,11,MarcaA,True,3.0594720991565048,Full HD,WiFi
221,Tablet,Computadoras,938.8011843361131,13,2,MarcaB,True,4.632837901129556,HD,WiFi
222,Monitor,Monitores,321.7771981765202,39,7,MarcaC,False,1.1063299332159235,4K,HDMI
223,Teclado,Accesorios,678.0305439772635,33,13,MarcaA,True,2.357867179836078,N/A,USB
224,Mouse,Accesorios,544.7630779862432,43,3,MarcaB,False,0.9008607710790678,N/A,USB
225,Disco Duro,Almacenamiento,517.1865363928086,22,7,MarcaC,False,1.0106438090438183,1TB,SATA
226,Impresora,Impresoras,1464.9137211781792,16,7,MarcaA,True,4.5684986565178995,N/A,USB
227,Router,Redes,711.0270420667885,23,1,MarcaB,False,2.50780813173722,N/A,WiFi
228,Cámara Web,Accesorios,1359.6605217302472,26,6,MarcaC,False,3.5993284430206938,720p,USB
229,Auriculares,Audio,1020.4802137964417,19,4,MarcaA,True,1.1251149045959,N/A,3.5mm
230,Laptop,Computadoras,1233.254694604143,5,11,MarcaA,True,0.5987636707674011,Full HD,WiFi
231,Tablet,Computadoras,853.4282210367497,6,8,MarcaB,False,4.507177808069888,HD,WiFi
232,Monitor,Monitores,949.9750500142668,12,8,MarcaC,True,3.085455377970599,4K,HDMI
233,Teclado,Accesorios,840.273001964523,26,3,MarcaA,True,0.5899449000695308,N/A,USB
234,Mouse,Accesorios,453.81588413745783,29,4,MarcaB,False,4.965527664175942,N/A,USB
235,Disco Duro,Almacenamiento,1139.187749839957,6,1,MarcaC,True,2.714865723561911,1TB,SATA
236,Impresora,Impresoras,565.0040711731126,13,10,MarcaA,True,2.641444286743741,N/A,USB
237,Router,Redes,231.61075636088998,13,2,MarcaB,False,3.2941138294517955,N/A,WiFi
238,Cámara Web,Accesorios,1039.113984679318,17,7,MarcaC,False,0.5355704038795794,720p,USB
239,Auriculares,Audio,430.24388322916366,10,14,MarcaA,False,3.06112268167898,N/A,3.5mm
240,Laptop,Computadoras,1422.5961596587886,34,11,MarcaA,True,3.3326775679534557,Full HD,WiFi
241,Tablet,Computadoras,1440.1071501033637,19,12,MarcaB,True,1.8362910564638266,HD,WiFi
242,Monitor,Monitores,1389.3237072865832,19,7,MarcaC,False,3.770835843957343,4K,HDMI
243,Teclado,Accesorios,681.2063103320777,11,13,MarcaA,True,2.1984431729808547,N/A,USB
244,Mouse,Accesorios,220.09360148752765,15,9,MarcaB,True,3.7299791050616307,N/A,USB
245,Disco Duro,Almacenamiento,1406.814131364043,44,10,MarcaC,True,1.1472133030363143,1TB,SATA
246,Impresora,Impresoras,756.6393928125086,42,9,MarcaA,True,4.611640172184581,N/A,USB
247,Router,Redes,1456.6512647567704,44,9,MarcaB,False,4.457558181453171,N/A,WiFi
248,Cámara Web,Accesorios,1452.7059702160286,6,6,MarcaC,False,1.1778191423949675,720p,USB
249,Auriculares,Audio,1308.9122921075682,43,8,MarcaA,True,4.723042716884844,N/A,3.5mm
250,Laptop,Computadoras,582.7835596904614,14,9,MarcaA,True,3.0100112274527326,Full HD,WiFi
251,Tablet,Computadoras,700.6270471825028,48,12,MarcaB,True,3.6574235526423577,HD,WiFi
252,Monitor,Monitores,1306.477672971914,21,14,MarcaC,False,4.281322065694379,4K,HDMI
253,Teclado,Accesorios,611.9986067031609,11,7,MarcaA,False,0.8760647618600164,N/A,USB
254,Mouse,Accesorios,420.3405706919202,44,4,MarcaB,False,1.2617796085977495,N/A,USB
255,Disco Duro,Almacenamiento,923.8416411958552,43,14,MarcaC,False,1.806759146686828,1TB,SATA
256,Impresora,Impresoras,1417.0012064090154,8,4,MarcaA,False,2.6474201662415613,N/A,USB
257,Router,Redes,1104.838735677465,39,6,MarcaB,True,2.0572452783443325,N/A,WiFi
258,Cámara Web,Accesorios,941.0795211161744,40,14,MarcaC,True,2.7763086962392385,720p,USB
259,Auriculares,Audio,326.3294419019991,35,11,MarcaA,False,1.3366266230468131,N/A,3.5mm
260,Laptop,Computadoras,999.5093947089207,29,4,MarcaA,False,3.5696936296992408,Full HD,WiFi
261,Tablet,Computadoras,1487.0700051355423,45,11,MarcaB,True,0.7508069653267901,HD,WiFi
262,Monitor,Monitores,382.1092198074812,17,7,MarcaC,False,2.1265227779358273,4K,HDMI
263,Teclado,Accesorios,873.8285480728578,22,8,MarcaA,True,1.3056496010200516,N/A,USB
264,Mouse,Accesorios,1340.584993506342,25,8,MarcaB,False,3.7846997234180617,N/A,USB
265,Disco Duro,Almacenamiento,1162.9992030804658,5,14,MarcaC,True,4.476440024734601,1TB,SATA
266,Impresora,Impresoras,1106.1204632938484,40,8,MarcaA,False,0.8545379414156371,N/A,USB
267,Router,Redes,1113.229309183242,12,2,MarcaB,True,4.032670351398799,N/A,WiFi
268,Cámara Web,Accesorios,667.3384965856817,25,14,MarcaC,True,4.53075032174946,720p,USB
269,Auriculares,Audio,581.6693975438413,47,10,MarcaA,False,4.882865974763249,N/A,3.5mm
270,Laptop,Computadoras,1252.1695021220678,25,2,MarcaA,False,3.1072381292529005,Full HD,WiFi
271,Tablet,Computadoras,1253.147413082935,31,2,MarcaB,False,1.9732634870333303,HD,WiFi
272,Monitor,Monitores,1327.1940141541347,23,2,MarcaC,False,1.948881199402986,4K,HDMI
273,Teclado,Accesorios,1387.2127183234127,27,4,MarcaA,False,2.2053653568250366,N/A,USB
274,Mouse,Accesorios,864.7451185192191,47,5,MarcaB,True,3.257003332974321,N/A,USB
275,Disco Duro,Almacenamiento,851.9711830933595,39,4,MarcaC,False,2.7060350546260623,1TB,SATA
276,Impresora,Impresoras,1237.7837326568076,44,5,MarcaA,False,3.4413576188307577,N/A,USB
277,Router,Redes,1044.9531100110949,46,4,MarcaB,False,0.6769124308830927,N/A,WiFi
